;;;;;;
sno;fkod;alt_faaliyet;anahtar_sonuclar;p_sure;tekrar_sayisi;
1;SDD601;SOPD:;;;;
2;BAK601;BAK:;;;;
3;ABP601;AB:;;;;
4;SOG601;SoG:;SoGreen Proje görevleri tamamlandý;;;
5;STU101;Doðu Kaçkarlar Rotalarý Belirlenecek;/*Teknik Þartnamenin Hazýrlanmasý/*Yükleniciyle Koordinasyon Toplantýsý Gerçekleþirilmesi;1;1;
6;STU101;Ekoturizm Köyleri Geliþtirme Yol Haritasý Oluþturulacak;/*Ekoturizm Köylerine Ziyaret Gerçekleþtirildi/*Ekoturizm Köyleri Bazýnda Bir Çalýþtay Gerçekleþtirildi;1;1;
7;STU102;Hedef Pazar Analizleri Yapýlacak;;1;1;
8;STU103;Discover Kaçkar Markalaþma Projesi 2. Aþama;/*Teknik Þartname Hazýrlandý/*Satýn Alma Evraklarý Düzenlendi/*Yükleniciyle 4 Adet Koordinasyon Toplantýsý Gerçekleþtirildi;1;1;
9;STU104;Gümüþhane Turizm Master Planýnýn Hazýrlanmasý;/*Teknik Þartname Oluþturuldu/*Yükleniciyle Ýlk Toplantý Gerçekleþtirildi/*Satýn Alma Evraklarý Düzenlendi;1;1;
10;STU104;Fatsa Kabakdaðý Eylem Planý Hazýrlanacak;/*Teknik Þartname Hazýrlandý/*Kabakdaðý'na Ziyaret Gerçekleþtirildi;1;1;
11;STU104;Trabzon Turizm Master Planý Hazýrlanacak;/*Teknik Þartname Hazýrlandý/*Satýn Alma Evraklarý Düzenlendi/*Yükleniciyle Toplantý Gerçekleþtirildi;1;1;
12;STU201;GSTC Membership Alýnacak;/*GSTC Membership Baþvurusu Yapýldý/*Ödeme Yapýldý;1;1;
13;STU201;UNWTO Affiliate Membership Alýnacak;/*UNWTO Affiliate Membership Baþvurusu Yapýldý/*Ödeme Yapýldý;1;1;
14;STU201;Doðu Karadeniz Turizm Zirvesi Gerçekleþtirildi;/*Organizasyon Planlandý;1;1;
15;STU201;Macera Turizmi Çalýþtayý Düzenlendi;/*Organizasyon Yapýldý;1;1;
16;STU302;AdventureWEEK Katýlým Saðlanacak;;1;1;
17;STU302;Andora Dað ve Macera Konferansýna Katýlým Saðlanacak;;1;1;
18;STU401;2. Dönem Kaçkar by UTMB Düzenlendi;/*Organizasyon Gerçekleþtirildi;1;1;
19;STU402;FITUR Madrid Katýlým Saðlandý;/*Organizasyon Yapýldý;1;1;
20;STU402;ITB Berlin Katýlým Saðlanacak;/*Organizasyon Yapýldý;1;1;
21;STU402;ATM Dubai Katýlým Saðlandý;/*Organizasyon Yapýldý;1;1;
22;STU402;ITB China Katýlým Saðlanacak;/*Organizasyon Gerçekleþtirildi;1;1;
25;STU403;Dað ve Macera Turizmi Temalý Fam-Tripler Düzenlenecek;/*Teknik Þartname Hazýrlandý;1;1;
26;STU404;ATM Dubai Fuarýna Katýlým Saðlanacak;/*Organizasyon Yapýldý;1;1;
27;STU405;Dijital Tanýtým Filmi Hazýrlanacak;/*Teknik Þartname Hazýrlandý;1;1;
28;STU501;Teknik Destek Ýlan Edilecek;/*Rehber Hazýrlandý/*Program Ýlan Edildi;1;1;
29;KDU103;Hedef pazar analizi hazýrlanacak. ;/*Hedef pazar analizi sektörler seçilecek/*Hedef pazar analizi tamamlandý;1;1;
30;KDU108;Fýndýk Bazlý Ürünlerin Ticarileþmesine Yönelik Ýhtiyaç Analiz ve Eylem Planý hazýrlanacak;/*Teknik þartname hazýrlandý/*Harcama oanyý alýndý/*Saha planlamasý yapýldý/*Baþlangýç toplantýsý yapýldý/*Taslak rapor hazýrlandý/*Nihai Rapor hazýrlandý;1;1;
31;KDU108;Doðu Karadeniz Týbbi ve Aromatik Bitkileri 2027-2030 Eylem Planý hazýrlanacak;/*Teknik þartname hazýrlandý/*Harcama onayý alýndý/*Saha planlamasý yapýldý/*Baþlangýç toplantýsý yapýldý/*Taslak rapor hazýrlandý/*Nihai rapor hazýrlandý;1;1;
32;KDU108;Butik Çay Ýhtiyaç Analizi ve Eylem Planý hazýrlanacak;/*Teknik þartname hazýrlandý/*Harcama onayý alýndý/*Saha planlamasý yapýldý/*Baþlangýç toplantýsý yapýldý/*Taslak rapor hazýrlandý/*Nihai rapor hazýrlandý;1;1;
33;KDU108;Yerel Deðer Halkasý Faaliyetleri - Çarþýbaþý Keþaný hazýrlandý;/*Harcama Onayý alýndý/*Rapor hazýrlandý;1;1;
34;KDU205;Ýl yeþil dönüþüm odak grup toplantýlarý organize edilecek ;/*Odak grup toplantýsý yapýldý;1;12;
35;KDU301;Eðitim program uygulanacak;/*Harcama onayý alýndý/*Eðitim programý uygulandý;1;1;
36;KDU302;Yalýn üretim ve dijital dönüþüm konusunda iyi uygulama ziyareti gerçekleþtirilecek;/*Ziyaret planý hazýrlandý/*Saha ziyareti gerçekleþtirildi.;1;1;
37;KDU302;Yalýn üretim ve dijital dönüþüme yönelik tecrübe paylaþýmý;/*Organizasyon hazýrlýklarý tamamlandý./*Organizasyon tamamlandý.;1;1;
38;KDU304;ÖZÜ ile mentörlük programý uygulanacak;/*Program harcama onayý alýndý./*Program saha uygulamasý gerçekleþtirildi.;1;1;
39;KDU305;Mentörlük ve Kapasite Geliþtirme Programý uygulanacak;/*Program tasarlandý/*Program uygulandý;1;1;
40;KDU305;TR90 Ýhracat Forumu Düzenlenecek;/*Harcama onayý alýndý/*Forum düzenlendi;1;1;
41;KDU406;Yatýrým B2B Organizasyonu düzenlenecek;/*Harcama onayý alýndý/*B2B düzenlendi;1;1;
42;KDU407;Rekabetçi Sektörler KOBÝ Profil Analizi Lansmaný düzenlenecek;/*Harcama onayý alýndý/*Lansman düzenlendi;1;1;
43;KDU501;Teknik Destek Programý tasarlanacak;/*Baþvuru rehberi künyesi oluþturuldu;1;1;
44;STU302;Erasus+ baþvurusu hazýrlanacak;/*Proje fikri kapsamý belirlendi/*Proje ortaklarý belirlendi/*Proje baþvuru formu hazýrlandý/*Baþvuru dosyasý gönderildi;5;1;
45;STU401;Düzenlenen organizasyonlara destek saðlanacak;/*Satýn alma süreçleri tamamlandý;2;1;
46;KDU101;Sonuç Raporu deðerlendirilecek;/*Raporlar incelendi;5;1;
47;STU401;Etkinlik takvimi hazýrlanacak;;3;1;
48;STU401;46 . Trabzon yarý Maratonu düzenlenecek;/*Satýn alma yapýldý;2;1;
49;STU104;Düzköy Turizm Master Planý Hazýrlanmasý;/*Rapor hazýrlandý./*Satýn alma süreçleri tamamlandý;8;1;
50;STU405;Bölge tanýtým içerikleri üretimi hizmet alýmý yapýlacak;/*Teknik þartname hazýrlandý/*Satýn alma evraklarý hazýrlandý;3;1;
51;STU104;Artvin Macera Turizmi Master Plan Ön Hazýrlýk;/*Rapor hazýrlandý.;2;1;
52;STU104;Artvin kýþ turizmi fizibilitesi;/*Rapor hazýrlandý/*Satýn alma süreçleri tamamlandý;3;1;
53;SOG601;Proje tanýtýmý ve proje yazýmýna destek olundu;/*Tanýtým yapýldý/*Proje fikri geliþtirildi;5;1;
