skod;Kategori;faaliyet;fkod
7;6;Avrupa Birliði Projeleri;ABP601
6;6;Bakanlýk Talepleri;BAK601
2;1;Rekabetçi Sektörler KOBÝ Profil Analizi;KDU101
2;1;Hedef pazar analizi;KDU103
2;1;Eylem Planlarý;KDU108
2;2;Ulusal ve uluslararasý fonlara proje geliþtirilmesi;KDU204
2;2;Yeþil Dönüþüm Stratejisi ve Eylem Planý kapsamýndaki iþ birliði faaliyetleri;KDU205
2;3;Yalýn üretim ve dijital dönüþüm alanýnda insan kaynaðý geliþtirme;KDU301
2;3;Yalýn üretim ve dijital dönüþüme yönelik iyi uygulama ziyaretleri ve tecrübe paylaþýmý;KDU302
2;3;Kadýn kooperatifleri kalkýnma liderleri programý;KDU304
2;3;Export Hub Programý;KDU305
2;4;Yatýrým fizibiliteleri sunumu, B2B Organizasyonlarý;KDU406
2;4;Rekabetçi Sektörler KOBÝ Profil Analizi Lansmaný;KDU407
2;5;Teknik Destek;KDU501
8;6;SoGreen Projesi;SOG601
5;6;SOP dýþý diðer iþler;SDD601
1;1;Doða ve kültür turizmi temasýnda deneyim odaklý ürünlerin, rotalarýn, destinasyonlarýn araþtýrýlmasý ve geliþtirilmesi;STU101
1;1;Hedef pazar analizlerinin yapýlmasý;STU102
1;1;Kurumsal kimlik, markalaþma ve tanýtým stratejilerinin oluþturulmasý;STU103
1;1;Turizm master planlarýnýn, planlara yönelik yatýrým fizibiliteleri ve ön fizibilitelerin hazýrlanmasý;STU104
1;2;Deneyim odaklý doða ve kültür turizmi kapsamýnda ürün, festival, þenlik, rekreatif aktivite, organizasyon, rota ve destinasyon planlamasý gerçekleþtirecek ve bunlarý geliþtirecek çalýþma gruplarý oluþturulmasý;STU201
1;3;Sektörel uzmanlaþmaya yönelik eðitim/webinar/farkýndalýk toplantýlarý gerçekleþtirilmesi;STU301
1;3;Katma deðerli turizm alanýnda iyi uygulama örneklerinin incelenmesi;STU302
1;4;Kültür-turizm festivalleri ve spor organizasyonlarý düzenlenmesi;STU401
1;4;Fuarlar, Tanýtým Amaçlý Lansman (Roadshow) Organizasyonlarý;STU402
1;4;Fam-trip ve tanýtým turu etkinlikleri düzenlenmesi;STU403
1;4;Doðrudan yabancý yatýrým çekmeye yönelik B2B, yatýrým turu, yatýrýmcý zirvesi katýlýmý/düzenlenmesi;STU404
1;4;Dijital tanýtým içerikleri ve basýlý tanýtým materyallerinin hazýrlanmasý;STU405
1;5;Teknik Destek;STU501
1;5;Güdümlü Proje Desteði ve Mali Destek;STU502
