cgkod;sop;bilsen_kod;birim;Hedef;Tamamlanma Dönemi;;;;;
CGSTU11;STU;1.1.;Adet;8;2026/4;;;;;
CGSTU12;STU;1.2.;Adet;4;2026/2;;;;;
CGSTU13;STU;1.3.;Adet;3;2026/4;;;;;
CGSTU14;STU;1.4.;Adet;20;2026/4;;;;;
CGSTU17;STU;1.7.;Adet;1;2026/4;;;;;
CGSTU21;STU;2.1.;Adet;4;2026/4;;;;;
CGSTU31;STU;3.1.;Adet;12;2026/4;;;;;
CGSTU32;STU;3.2.;Adet;3;2026/4;;;;;
CGSTU42;STU;4.2.;Adet;3;2026/4;;;;;
CGSTU45;STU;4.5.;Adet;12;2026/4;;;;;
CGSTU43;STU;4.3.;Adet;5;2026/4;;;;;
CGSTU41;STU;4.1.;Adet;2;2026/4;;;;;
CGSTU44;STU;4.4.;Adet;3;2026/4;;;;;
CGSTU52;STU;5.2.;Adet;4;2026/4;;;;;
CGSTU51;STU;5.1.;Adet;3;2026/4;;;;;
CGKDU11;KDU;1.1.;Adet;1;2026/4;;;;;
CGKDU13;KDU;1.3.;Adet;2;2026/4;;;;;
CGKDU14;KDU;1.4.;Adet;12;2026/4;;;;;
CGKDU16;KDU;1.6.;Adet;2;2026/4;;;;;
CGKDU17;KDU;1.7.;Adet;1;2025/4;;;;;
CGKDU24;KDU;2.4.;Adet;2;2026/4;;;;;
CGKDU25;KDU;2.5.;Adet;2;2026/4;;;;;
CGKDU32;KDU;3.2.;Kiþi;3;2026/4;;;;;
CGKDU31;KDU;3.1.;Adet;20;2026/4;;;;;
CGKDU34;KDU;3.4.;Adet;1;2026/4;;;;;
CGKDU41;KDU;4.1.;Adet;15;2026/4;;;;;
CGKDU46;KDU;4.6.;Adet;1;2026/4;;;;;
CGKDU51;KDU;5.1.;Adet;2;2026/4;;;;;
