cgkod;sop;bilesen_kodu;bilesen_adi;cikti_gostergesi;yil;hedef;gerceklesme;;;
CGSTU11;STU;1.1.;Doða ve kültür turizmi temasýnda deneyim odaklý ürünlerin, rotalarýn, destinasyonlarýn araþtýrýlmasý ve geliþtirilmesi;Doða ve kültür temalý, deneyim odaklý ürün sayýsý;2024;2;6;;;
CGSTU12;STU;1.2.;Hedef pazar analizlerinin yapýlmasý;Analiz Sayýsý;2024;2;1;;;
CGSTU13;STU;1.3.;Kurumsal kimlik, markalaþma ve tanýtým stratejilerinin oluþturulmasý;Stratejik doküman sayýsý;2024;2;2;;;
CGSTU14;STU;1.4.;Turizm master planlarýnýn, planlara yönelik yatýrým fizibiliteleri ve ön fizibilitelerin hazýrlanmasý;Master plan/fizibilite/ön fizibilite sayýsý;2024;5;1;;;
CGSTU17;STU;1.7.;Turizm altyapýlarýnýn iyileþtirilmesine yönelik alternatif finansman kaynaklarýnýn çalýþýlmasý, model geliþtirilmesi;Alternatif finansman kaynaðý sayýsý;2024;;;;;
CGSTU21;STU;2.1.;Deneyim odaklý doða ve kültür turizmi kapsamýnda ürün, festival, þenlik, rekreatif aktivite, organizasyon, rota ve destinasyon planlamasý gerçekleþtirecek ve bunlarý geliþtirecek çalýþma gruplarý oluþturulmasý;Odak grup toplantý sayýsý;2024;;;;;
CGSTU31;STU;3.1.;Sektörel uzmanlaþmaya yönelik eðitim/webinar/farkýndalýk toplantýlarý gerçekleþtirilmesi;Düzenlenen eðitim/farkýndalýk faaliyeti/webinar sayýsý;2024;4;;;;
CGSTU32;STU;3.2.;Katma deðerli turizm alanýnda iyi uygulama örneklerinin incelenmesi;Ýncelenen iyi uygulama örneði sayýsý;2024;;;;;
CGSTU42;STU;4.2.;Fuarlar, Tanýtým Amaçlý Lansman (Roadshow) Organizasyonlarý;Lansman (Roadshow) ve fuar sayýsý;2024;1;1;;;
CGSTU45;STU;4.5.;Dijital tanýtým içerikleri ve basýlý tanýtým materyallerinin hazýrlanmasý;Hazýrlanan içerik sayýsý / basýlan materyal sayýsý;2024;4;1;;;
CGSTU43;STU;4.3.;Fam-trip ve tanýtým turu etkinlikleri düzenlenmesi;Fam-trip ve tanýtým etkinliði sayýsý;2024;1;6;;;
CGSTU41;STU;4.1.;Kültür-turizm festivalleri ve spor organizasyonlarý düzenlenmesi;Düzenlenen/destek verilen organizasyon sayýsý;2024;1;;;;
CGSTU44;STU;4.4.;Doðrudan yabancý yatýrým çekmeye yönelik B2B, yatýrým turu, yatýrýmcý zirvesi katýlýmý/düzenlenmesi;Katýlým saðlanan B2B, yatýrým turu, yatýrýmcý zirvesi vb. organizasyon sayýsý;2024;1;;;;
CGSTU52;STU;5.2.;Güdümlü Proje Desteði ve Mali Destek;MDP ve Güdümlü Proje sayýsý;2024;1;1;;;
CGSTU51;STU;5.1.;Teknik Destek;Program sayýsý;2024;1;2;;;
CGKDU11;KDU;1.1.;Rekabetçi Sektörler KOBÝ Profil Analizi;Analiz Raporu;2024;;;;;
CGKDU13;KDU;1.3.;Hedef pazar analizi;Analiz Raporu;2024;;5;;;
CGKDU14;KDU;1.4.;Ýlçe temelli yatýrým fýrsatlarý analizi;Rapor Sayýsý;2024;;12;;;
CGKDU16;KDU;1.6.;Fizibilite / Ön fizibilitelerin hazýrlanmasý;Rapor Sayýsý;2024;;;;;
CGKDU17;KDU;1.7.;Rekabetçi sektörlerde yatýrýmlara uygun yeni sanayi alanlarý oluþturma çalýþmalarý;Rapor Sayýsý;2024;;;;;
CGKDU24;KDU;2.4.;Ulusal ve uluslararasý fonlara proje geliþtirilmesi;Proje baþvuru sayýsý;2024;;8;;;
CGKDU25;KDU;2.5.;Yeþil Dönüþüm Stratejisi ve Eylem Planý kapsamýndaki iþ birliði faaliyetleri;Toplantý/Organizasyon sayýsý;2024;;;;;
CGKDU32;KDU;3.2.;Yalýn üretim ve dijital dönüþüme yönelik iyi uygulama ziyaretleri ve tecrübe paylaþýmý;Organizasyon sayýsý;2024;;2;;;
CGKDU31;KDU;3.1.;Yalýn üretim ve dijital dönüþüm alanýnda danýþman havuzu geliþtirme;Eðitime katýlan kiþi sayýsý;2024;;;;;
CGKDU34;KDU;3.4.;Kadýn kooperatifleri kalkýnma liderleri programý;Uygulanan Program Sayýsý;2024;;;;;
CGKDU41;KDU;4.1.;ARGE ve tasarým merkezleri hakkýnda KOBÝ'lerin ve kooperatiflerin bilgilendirilmesi;Bilgilendirilen KOBÝ/Kooperatif sayýsý;2024;;17;;;
CGKDU46;KDU;4.6.;Yatýrým fizibiliteleri sunumu, B2B Organizasyonlarý;Organizasyon sayýsý;2024;;;;;
CGKDU51;KDU;5.1.;Teknik Destek;Ýlan edilen program sayýsý;2024;;1;;;
CGSTU11;STU;1.1.;Doða ve kültür turizmi temasýnda deneyim odaklý ürünlerin, rotalarýn, destinasyonlarýn araþtýrýlmasý ve geliþtirilmesi;Doða ve kültür temalý, deneyim odaklý ürün sayýsý;2025;3;20;;;
CGSTU12;STU;1.2.;Hedef pazar analizlerinin yapýlmasý;Analiz Sayýsý;2025;3;4;;;
CGSTU13;STU;1.3.;Kurumsal kimlik, markalaþma ve tanýtým stratejilerinin oluþturulmasý;Stratejik doküman sayýsý;2025;2;2;;;
CGSTU14;STU;1.4.;Turizm master planlarýnýn, planlara yönelik yatýrým fizibiliteleri ve ön fizibilitelerin hazýrlanmasý;Master plan/fizibilite/ön fizibilite sayýsý;2025;5;2;;;
CGSTU17;STU;1.7.;Turizm altyapýlarýnýn iyileþtirilmesine yönelik alternatif finansman kaynaklarýnýn çalýþýlmasý, model geliþtirilmesi;Alternatif finansman kaynaðý sayýsý;2025;1;;;;
CGSTU21;STU;2.1.;Deneyim odaklý doða ve kültür turizmi kapsamýnda ürün, festival, þenlik, rekreatif aktivite, organizasyon, rota ve destinasyon planlamasý gerçekleþtirecek ve bunlarý geliþtirecek çalýþma gruplarý oluþturulmasý;Odak grup toplantý sayýsý;2025;1;1;;;
CGSTU31;STU;3.1.;Sektörel uzmanlaþmaya yönelik eðitim/webinar/farkýndalýk toplantýlarý gerçekleþtirilmesi;Düzenlenen eðitim/farkýndalýk faaliyeti/webinar sayýsý;2025;4;7;;;
CGSTU32;STU;3.2.;Katma deðerli turizm alanýnda iyi uygulama örneklerinin incelenmesi;Ýncelenen iyi uygulama örneði sayýsý;2025;2;2;;;
CGSTU42;STU;4.2.;Fuarlar, Tanýtým Amaçlý Lansman (Roadshow) Organizasyonlarý;Lansman (Roadshow) ve fuar sayýsý;2025;1;3;;;
CGSTU45;STU;4.5.;Dijital tanýtým içerikleri ve basýlý tanýtým materyallerinin hazýrlanmasý;Hazýrlanan içerik sayýsý / basýlan materyal sayýsý;2025;4;5;;;
CGSTU43;STU;4.3.;Fam-trip ve tanýtým turu etkinlikleri düzenlenmesi;Fam-trip ve tanýtým etkinliði sayýsý;2025;2;3;;;
CGSTU41;STU;4.1.;Kültür-turizm festivalleri ve spor organizasyonlarý düzenlenmesi;Düzenlenen/destek verilen organizasyon sayýsý;2025;1;2;;;
CGSTU44;STU;4.4.;Doðrudan yabancý yatýrým çekmeye yönelik B2B, yatýrým turu, yatýrýmcý zirvesi katýlýmý/düzenlenmesi;Katýlým saðlanan B2B, yatýrým turu, yatýrýmcý zirvesi vb. organizasyon sayýsý;2025;1;5;;;
CGSTU52;STU;5.2.;Güdümlü Proje Desteði ve Mali Destek;MDP ve Güdümlü Proje sayýsý;2025;1;1;;;
CGSTU51;STU;5.1.;Teknik Destek;Program sayýsý;2025;1;1;;;
CGKDU11;KDU;1.1.;Rekabetçi Sektörler KOBÝ Profil Analizi;Analiz Raporu;2025;1;1;;;
CGKDU13;KDU;1.3.;Hedef pazar analizi;Analiz Raporu;2025;2;3;;;
CGKDU14;KDU;1.4.;Ýlçe temelli yatýrým fýrsatlarý analizi;Rapor Sayýsý;2025;12;;;;
CGKDU16;KDU;1.6.;Fizibilite / Ön fizibilitelerin hazýrlanmasý;Rapor Sayýsý;2025;2;2;;;
CGKDU17;KDU;1.7.;Rekabetçi sektörlerde yatýrýmlara uygun yeni sanayi alanlarý oluþturma çalýþmalarý;Rapor Sayýsý;2025;1;;;;
CGKDU24;KDU;2.4.;Ulusal ve uluslararasý fonlara proje geliþtirilmesi;Proje baþvuru sayýsý;2025;2;3;;;
CGKDU25;KDU;2.5.;Yeþil Dönüþüm Stratejisi ve Eylem Planý kapsamýndaki iþ birliði faaliyetleri;Toplantý/Organizasyon sayýsý;2025;2;6;;;
