sprint_donem;bitis_donem;sprint_faaliyetleri;sno;plan_sure;is_durum;baslama_t;inceleme_t;tamamlanma_t;gercek_sure;performans_gostergeler;guncel_tarih;guncelleyen;pkod;;;
1;1;FITUR Madrid Sunumu Hazýrlanacak;19;3;Tamamlandý;08.01.2026;20.01.2026;20.01.2026;3;;28.01.2026;fatih.ozdemir;2;;;
1;1;Erasmus+ programý incelenerek uygun çaðrýlar tespit edilecek, proje fikri geliþtirilecek;44;5;Tamamlandý;15.01.2026;15.01.2026;30.01.2026;;;04.02.2026;zubeyde.altun;1;;;
1;1;Erasmus+ programýna sunulacak projenin özeti çýkarýlacak;44;5;Tamamlandý;21.01.2026;30.01.2026;30.01.2026;;;16.03.2026;fatih.ozdemir;1;;;
1;1;Discover Kaçkar süreci sunumu hazýrlanacak;77;3;Tamamlandý;20.01.2026;20.01.2026;20.01.2026;3;;28.01.2026;fatih.ozdemir;2;;;
1;1;Kýþ yüzme þenliði satýnlama yapýlacak ;45;2;Tamamlandý;13.01.2026;28.01.2026;28.01.2026;2;ÇGSTU41;04.02.2026;fatih.ozdemir;2;;;
1;;Uzungöl kýþ þenliði satýnalma yapýlacak;45;2;Baþladý;13.01.2026;;;;;13.01.2026;fatih.ozdemir;2;;;
1;;Dijital içerik çekim satýnalmasý yapýlacak;27;2;Baþladý;13.01.2026;;;;;04.02.2026;fatih.ozdemir;6;;;
1;2;Turizm Mükemmeliyet Merkezi makalesi hazýrlanacak;77;4;Tamamlandý;5.01.2026;13.01.2026;20.02.2026;4;;23.02.2026;fatih.ozdemir;3;;;
1;1;SoGreen güdümlü proje önerileri hazýrlanacak;80;1;Tamamlandý;15.01.2026;15.01.2026;15.01.2026;;;09.02.2026;fatih.ozdemir;3;;;
1;;KOBÝ profil analizi sonuç raporu deðerlendirilecek;46;5;Baþladý;;;;;;13.01.2026;fatih.ozdemir;4;;;
1;1;TD künyesi hazýrlanacak;43;2;Tamamlandý;15.01.2026;27.01.2026;27.01.2026;;;23.02.2026;fatih.ozdemir;4;;;
1;1;SoGreen güdümlü proje önerileri hazýrlanacak;80;4;Tamamlandý;28.01.2026;28.01.2026;28.01.2026;4;;02.02.2026;mehmet.sezgin;4;;;
1;;SeedGuard final raporu hazýrlanacak;79;3;Baþladý;12.01.2026;;;;;02.02.2026;elifnaz.gulcan;2;;;
1;1;Ünye Manyetik Kum Raporu Ýncelenecek;41;1;Tamamlandý;22.01.2026;27.01.2026;27.01.2026;1;;28.01.2026;fatih.ozdemir;4;;;
1;;UNWTO Affiliate Membership baþvuru formu hazýrlanacak;13;1;Ýncelemede;02.02.2026;02.02.2026;;;;09.02.2026;fatih.ozdemir;2;;;
1;1;ITB China sözleþme imzalandý, TGA'ya iletildi.;22;2;Tamamlandý;02.02.2026;02.02.2026;02.02.2026;2;;23.02.2026;fatih.ozdemir;2;;;
1;1;ITB Berlin için sözleþme ve teknik þartname hazýrlandý.;20;3;Tamamlandý;02.02.2026;02.02.2026;02.02.2026;3;;02.02.2026;elifnaz.gulcan;2;;;
1;1;Discover Kaçkar süreç raporu hazýrlandý.;8;2;Tamamlandý;02.02.2026;02.02.2026;02.02.2026;2;;02.02.2026;elifnaz.gulcan;2;;;
1;1;Týbbi aromatik bitkiler hakkýnda ön araþtýrma yapýldý ve kurumlarla görüþüldü.;31;2;Tamamlandý;12.01.2026;13.01.2026;02.02.2026;2;;02.02.2026;fatih.ozdemir;3;;;
2;2;KTÜ'de SOGreen GPD Sunumu  yapýlacak;80;1;Tamamlandý;03.02.2026;04.02.2026;04.02.2026;1;;13.02.2026;fatih.ozdemir;4;;;
1;1;Kardan Adam Þenliði satýn alma yapýlacak;45;3;Tamamlandý;15.01.2026;15.01.2026;30.01.2026;3;ÇGSTU41;04.02.2026;fatih.ozdemir;1;;;
2;2;Trabzon festival ve etkinlik bilgi notu hazýrlanacak;47;3;Tamamlandý;04.02.2026;6.02.2026;6.02.2026;3;;13.02.2026;fatih.ozdemir;6;;;
1;1;Ekoturizm temasý bilgi notu hazýrlanacak;6;3;Tamamlandý;15.01.2026;15.01.2026;30.01.2026;3;;04.02.2026;fatih.ozdemir;1;;;
1;1;FITUR Madrid Katýlým Saðlandý;19;4;Tamamlandý;15.01.2026;15.01.2026;25.01.2026;4;ÇGSTU42;04.02.2026;fatih.ozdemir;7;;;
2;2;Artvin TBA kurum ziyaretleri yapýlacak;31;2;Tamamlandý;5.02.2026;6.02.2026;6.02.2026;2;;20.02.2026;mehmet.sezgin;3;;;
2;2;Kültür Yayýnlarý: Þahrah ticaret yolu sözleþme süreci tamamlandý.;77;3;Tamamlandý;04.02.2026;04.02.2026;20.02.2026;3;;24 03 2026;nuray.efendioglu;6;;;
2;2;Sibervatan yüzyüze eðitim satýnalma tamamlandý ve iþ baþlatýldý.;77;1;Tamamlandý;02.02.2026;02.02.2026;02.02.2026;1;;24 03 2026;nuray.efendioglu;6;;;
2;2;KTÜ'de SoGreen GDP toplantýsýna katýlým saðlanacak;80;0,5;Tamamlandý;04.02.2026;4.02.2026;4.02.2026;0,5;;13.02.2026;fatih.ozdemir;3;;;
2;2;Ünye Manyetik Kum Raporu Bilgilendirme Toplantýsý için hazýrlýk yapýlacak ve toplantýya katýlým saðlanacak;41;2;Tamamlandý;05.02.2026;09.02.2026;09.02.2026;2;;13.02.2026;fatih.ozdemir;4;;;
2;2;Trabzon Valisi için Fýndýk Tarýmý Bilgi Notu hazýrlanacak;77;0,5;Tamamlandý;10.02.2026;12.02.2026;12.02.2026;1;;23.02.2026;fatih.ozdemir;4;;;
2;2;Destek Programý kurgusu tasarlanacak ;43;2;Tamamlandý;13.02.2026;20.02.2026;20.02.2026;3;;23.02.2026;fatih.ozdemir;4;;;
2;;Discover Kaçkar 2. Aþama Teknik Þartname hazýrlanacak;8;2;Baþladý;16.02.2026;;;;;16.02.2026;elifnaz.gulcan;2;;;
2;2;Gümüþhane Turizm Master Planý için Sözleþme imzalanacak;9;2;Tamamlandý;9.02.2026;16.02.2026;16.02.2026;;;18.02.2026;elifnaz.gulcan;2;;;
2;2;ITB Berlin TGA stant satýn almasý yapýlacak;20;3;Tamamlandý;2.02.2026;13.02.2026;16.02.2026;;;16.02.2026;elifnaz.gulcan;2;;;
2;2;46. Trabzon yarý Maratonu Satýn alma tamamlanacak;48;3;Tamamlandý;9.02.2026;16.02.2026;18.02.2026;;ÇGSTU41;26.02.2026;fatih.ozdemir;2;;;
2;3;ITB Berlin için promosyon malzemeleri hazýrlanacak;20;5;Tamamlandý;18.02.2026;26.02.2026;11.03.2026;;;11.03.2026;elifnaz.gulcan;2;;;
2;3;Discover Kaçkar Teknik þartnamesi hazýrlanacak;8;5;Tamamlandý;26.02.2026;11.03.2026;11.03.2026;;;16.03.2026;fatih.ozdemir;2;;;
2;2;Rize Valisi'ne sunulmak üzere, imzalanacak yeni protokol için bilgi notu hazýrlanacak;8;1;Tamamlandý;16.02.2026;17.02.2026;18.02.2026;;;18.02.2026;elifnaz.gulcan;2;;;
2;2;Turizm Mükemmeliyet Merkezi makalesi gözden geçirildi.;77;3;Tamamlandý;2.02.2026;20.02.2026;20.02.2026;4;;23.02.2026;fatih.ozdemir;3;;;
2;2;Teknik Destek Programý tasarlanacak;43;1;Tamamlandý;17.02.2026;20.02.2026;20.02.2026;1;;23.02.2026;fatih.ozdemir;3;;;
2;2;DOKAP davetlisi olarak kooperatifler hakkýnda Ýzmir saha ziyareti gerçekleþtirildi. ;77;4;Tamamlandý;9.02.2026;12.02.2026;12.02.2026;4;;23.02.2026;fatih.ozdemir;3;;;
2;2;Turizm almanak oluþturulmaya baþlandý.;77;0,5;Tamamlandý;13.02.2026;13.02.2026;13.02.2026;0,5;;23.02.2026;fatih.ozdemir;3;;;
2;2;Erasmus+ proje: projenin özeti çýkarýlacak;44;4;Tamamlandý;2.02.2026;6.02.2026;6.02.2026;4;;26.02.2026;fatih.ozdemir;1;;;
2;2;Erasmus+ proje: proje özeti potansiyel ortaklara gönderilecek ;44;5;Tamamlandý;9.02.2026;18.02.2026;18.02.2026;5;;26.02.2026;fatih.ozdemir;1;;;
2;2;Erasmus+ proje: potansiyel ortaklar ile görüþmelere baþlanacak;44;3;Tamamlandý;18.02.2026;20.02.2026;20.02.2026;2,5;;26.02.2026;fatih.ozdemir;1;;;
2;2;Veri Analizi Okulunda 2 Modülün eðitimlerine katýlým saðlanacak;77;3;Tamamlandý;2.02.2026;20.02.2026;20.02.2026;3;;25.02.2026;zubeyde.altun;1;;;
2;2;Yeþil Sertifika Eðitimine katýlým saðlanacak alýnacak;77;1;Tamamlandý;10.02.2026;10.02.2026;20.02.2026;0,5;;25.02.2026;zubeyde.altun;1;;;
2;2;Siber Vatan Giresun yüz yüze eðitimi hazýrlýklarý, iþ ve iþlemleri yürütüldü.;77;1;Tamamlandý;09.02.2026;20.02.2026;20.02.2026;1;;24 03 2026;nuray.efendioglu;6;;;
2;2;Siber Vatan Gümüþhane yüz yüze eðitimi hazýrlýklarý, iþ ve iþlemleri yürütüldü.;77;2;Tamamlandý;02.02.2026;20.02.2026;20.02.2026;2;;24 03 2026;nuray.efendioglu;6;;;
2;2;UNDP-Sivil Katýlým Projesi Antalya Çalýþtayýna katýlým saðlanacak.;77;2;Tamamlandý;17.02.2026;19.02.2026;19.02.2026;2;;24 03 2026;nuray.efendioglu;6;;;
2;2;Veri Analizi Okulu eðitimlerine katýlým saðlandý.;77;3;Tamamlandý;02.02.2026;20.02.2026;20.02.2026;3;;24 03 2026;nuray.efendioglu;6;;;
3;3;Erasmus + proje: potansiyel ortaklarýn rolleri belirlenecek;44;5;Tamamlandý;23.02.2026;;13.03.2026;;;18.03.2026;zubeyde.altun;1;;;
3;3;Erasmus + proje: bölge paydaþlarý ve rolleri belirlenecek ;44;5;Tamamlandý;23.02.2026;;13.03.2026;;;18.03.2026;zubeyde.altun;1;;;
3;3;Veri Analizi Okulu-Temel Ýstatistik ve Hesaplamalý Sosyal Bilimler modülleri eðitimlerine katýlým saðlanacak;77;3;Tamamlandý;18.03.2026;;13.03.2026;;;19.03.2026;zubeyde.altun;1;;;
3;3;Yeþil Sertifika Eðitimine katýlým saðlanacak;77;2;Tamamlandý;24.02.2026;;13.03.2026;;;19.03.2026;zubeyde.altun;1;;;
3;;Yöresel Ürünler Sýfýr Hata Eðitim modülü oluþturulacak;43;4;Baþladý;28.02.2026;;;;;03.03.2026;oguzhan.satir;4;;;
3;;Yalýn Dönüþüm temasýnda finansman desteði programý kurgulanacak;80;2;Baþladý;27.02.2026;;;;;03.03.2026;oguzhan.satir;4;;;
3;3;SoGreen Ayder Proje Hazýrlýðý;80;2;Tamamlandý;28.03.2026;02.03.2026;16.03.2026;2;;16.03.2026;fatih.ozdemir;4;;;
3;3;SoGreen Proje Hazýrlýðý Destek (KTÜ , Gümüþhane Üni);80;2;Tamamlandý;30.03.2026;05.03.2026;05.03.2026;2;;16.03.2026;fatih.ozdemir;4;;;
3;3;TR90 ve Discover Kaçkar Destinasyonlarý Tanýtým Ýçerikleri Teknik Þartnamesi hazýrlanacak.;27;3;Tamamlandý;23.02.2026;;06.03.2026;3;;24 03 2026;nuray.efendioglu;6;;;
3;;BRIGHT Projesi Baþlangýç hazýrlýklarý;79;1;Baþladý;09.03.2026;;;;;09.03.2026;oguzhan.satir;4;;;
3;3;ITB Berlin Fuarý'na katýlým saðlandý;20;5;Tamamlandý;2.03.2026;11.03.2026;11.03.2026;;ÇGSTU42;16.03.2026;fatih.ozdemir;2;;;
3;3;ITB Berlin stant tasarým ve kurulum satýn almasý yapýldý;20;3;Tamamlandý;5.03.2026;11.03.2026;11.03.2026;;;16.03.2026;fatih.ozdemir;2;;;
