tarih;pkod;sprint_toplantý;organizasyon_puan;ajanstaki_rolu;ajans_hakkinda;aort;durum
30.01.2026 14:27;5;30.01.2026;8;6;5;5,5;
30.01.2026 14:28;3;30.01.2026;6;7;6;6,5;
30.01.2026 14:28;4;30.01.2026;9;7;6;6,5;
30.01.2026 14:29;1;30.01.2026;8;7;7;7,0;
30.01.2026 14:42;2;30.01.2026;9;7;7;7,0;
20.02.2026 13:20;4;20.02.2026;10;7;7;7,0;
20.02.2026 13:58;1;20.02.2026;7;5;6;5,5;
20.02.2026 14:38;3;20.02.2026;7;6;6;6,0;
23.02.2026 08:19;2;20.02.2026;8;7;7;7,0;
13.03.2026 08:47;4;13.03.2026;10;7;7;7,0;
13.03.2026 08:47;1;13.03.2026;5;6;6;6,0;
13.03.2026 08:53;6;13.03.2026;10;7;7;7,0;
