sprint_donem;baslangic;bitis;sprint_adi;isim_veren;sure_gun;ekip;;;
1;1.01.2026;30.01.2026;Middle;Anonim;20;4;;;
2;2.02.2026;20.02.2026;Zemu;Anonim;14;5;;;
3;23.02.2026;13.03.2026;Maison;Anonim;14;5;;;
4;16.03.2026;3.04.2026;House;Anonim;14;5;;;
5;6.04.2026;24.04.2026;KahveDünya;Anonim;14;5;;;
6;27.04.2026;15.05.2026;Boi;Anonim;14;5;;;
7;18.05.2026;5.06.2026;Ganita;Anonim;14;5;;;
8;8.06.2026;26.06.2026;Botanik;Anonim;14;5;;;
9;29.06.2026;17.07.2026;Melanzane;Anonim;14;5;;;
10;20.07.2026;7.08.2026;;;14;5;;;
11;10.08.2026;28.08.2026;;;14;5;;;
12;31.08.2026;18.09.2026;;;14;5;;;
13;21.09.2026;9.10.2026;;;14;5;;;
14;12.10.2026;30.10.2026;;;14;5;;;
15;2.11.2026;20.11.2026;;;14;5;;;
16;23.11.2026;11.12.2026;;;14;5;;;
17;14.12.2026;31.12.2026;;;18;5;;;
;;;;;;;;;
